2025-09-23 23:59:32 | INFO | Logging to file: logs/project_log_36324.log
2025-09-23 23:59:32 | INFO | Log sanitization enabled, personal info removed
2025-09-23 23:59:32 | INFO | Starting Much Ado Producer (random author + random message).
2025-09-23 23:59:32 | INFO | Use Ctrl+C to stop.
2025-09-23 23:59:32 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-23 23:59:32 | INFO | BUZZ_TOPIC: buzzline
2025-09-23 23:59:32 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-23 23:59:32 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-23 23:59:32 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-23 23:59:32 | INFO | [producer_much_ado] Using reference JSON: PROJECT_ROOT/files/much_ado_excerpt.json
2025-09-23 23:59:32 | INFO | Deleted existing live data file.
2025-09-23 23:59:32 | INFO | Kafka broker address: localhost:9092
2025-09-23 23:59:32 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': '127.0.0.1', 'port': 9092, 'rack': None}], 'cluster_id': 'izX4qtgsSweNTi1cWUWQEA', 'controller_id': 1}
2025-09-23 23:59:32 | INFO | Kafka broker address: localhost:9092
2025-09-23 23:59:33 | INFO | Topic 'buzzline' already exists. Recreating fresh...
2025-09-23 23:59:33 | INFO | Requested deletion of topic 'buzzline'.
2025-09-23 23:59:33 | INFO | Topic 'buzzline' created successfully.
2025-09-23 23:59:33 | INFO | {'message': 'only this commendation I can afford her, that were she other than she is,', 'author': 'leonato', 'timestamp': '2025-09-23 23:59:33', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 73}
2025-09-23 23:59:38 | INFO | {'message': 'If this should ever happen, thou wouldst be horn-mad.', 'author': 'conrade', 'timestamp': '2025-09-23 23:59:38', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 53}
2025-09-23 23:59:43 | INFO | {'message': 'What the good-year, my lord! why are you thus out of measure sad?', 'author': 'leonato', 'timestamp': '2025-09-23 23:59:43', 'category': 'literature', 'sentiment': 0.0, 'keyword_mentioned': 'none', 'message_length': 65}
2025-09-23 23:59:48 | INFO | {'message': 'mischief. I cannot hide what I am: I must be sad when I have cause, and', 'author': 'don pedro', 'timestamp': '2025-09-23 23:59:48', 'category': 'literature', 'sentiment': 0.0, 'keyword_mentioned': 'none', 'message_length': 71}
2025-09-23 23:59:53 | INFO | {'message': 'without a badge of bitterness.', 'author': 'benedick', 'timestamp': '2025-09-23 23:59:53', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 30}
2025-09-23 23:59:58 | INFO | {'message': 'And tire the hearer with a book of words.', 'author': 'don john', 'timestamp': '2025-09-23 23:59:58', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 41}
2025-09-24 00:00:03 | INFO | {'message': 'with a pernicious suitor. I thank God and my cold blood, I am of your', 'author': 'leonato', 'timestamp': '2025-09-24 00:00:03', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 69}
2025-09-24 00:00:08 | INFO | {'message': 'Any hard lesson that may do thee good.', 'author': 'benedick', 'timestamp': '2025-09-24 00:00:08', 'category': 'literature', 'sentiment': 1.0, 'keyword_mentioned': 'none', 'message_length': 38}
2025-09-24 00:00:13 | INFO | {'message': 'not a hard heart; for, truly, I love none.', 'author': 'leonato', 'timestamp': '2025-09-24 00:00:13', 'category': 'literature', 'sentiment': 1.0, 'keyword_mentioned': 'none', 'message_length': 42}
2025-09-24 00:00:18 | INFO | {'message': 'heart.', 'author': 'leonato', 'timestamp': '2025-09-24 00:00:18', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 6}
2025-09-24 00:00:23 | INFO | {'message': 'Thou wilt be like a lover presently,', 'author': 'beatrice', 'timestamp': '2025-09-24 00:00:23', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 36}
2025-09-24 00:00:28 | INFO | {'message': 'I will assume thy part in some disguise,', 'author': 'leonato', 'timestamp': '2025-09-24 00:00:28', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 40}
2025-09-24 00:00:33 | INFO | {'message': 'likest her.', 'author': 'benedick', 'timestamp': '2025-09-24 00:00:33', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 11}
2025-09-24 00:00:38 | INFO | {'message': 'Let me bid you welcome, my lord: being reconciled to', 'author': 'benedick', 'timestamp': '2025-09-24 00:00:38', 'category': 'literature', 'sentiment': 1.0, 'keyword_mentioned': 'none', 'message_length': 52}
2025-09-24 00:00:43 | INFO | {'message': 'What secret hath held you here, that you followed not to Leonato’s?', 'author': 'benedick', 'timestamp': '2025-09-24 00:00:43', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 67}
2025-09-24 00:00:48 | INFO | {'message': 'But now I am return’d, and that war-thoughts', 'author': 'don john', 'timestamp': '2025-09-24 00:00:48', 'category': 'literature', 'sentiment': 0.5, 'keyword_mentioned': 'none', 'message_length': 44}
